clientid,EventProcessedUtcTime,contouren,afwijking,voorgrond,beweging,helderheid,richting,leftoutcounter,rightoutcounter,objecten,leftcounter,rightcounter,upcounter,downcounter,undeterminedcounter
CAM02,2018-03-31T02:14:12.8095291Z,8,173,100,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:12.8544002Z,130,242,63,19,5,UNDETERMINED,0,0, 2,0,0,0,0,2
CAM02,2018-03-31T02:14:13.5443126Z,10,181,100,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:13:53.6803987Z,132,268,66,93,7,heading: v,0,0, 3,0,0,0,1,2
CAM??,2018-03-31T02:14:13.5443126Z,121,250,71,90,3,UNDETERMINED,0,0, 3,0,0,0,0,3
CAM02,2018-03-31T02:14:16.4013023Z,12,178,99,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:14:16.4169202Z,12,176,99,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:13:53.7272988Z,99,244,69,46,4,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:14:13.5106661Z,10,170,99,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:16.3856708Z,162,271,56,77,29,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:14:13.5106661Z,9,171,100,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:13.5106661Z,184,293,54,94,35,UNDETERMINED,0,0, 1,0,0,0,0,1
CAM02,2018-03-31T02:14:13.5443126Z,7,176,100,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:13:53.6803987Z,185,321,59,24,14,UNDETERMINED,0,0, 3,0,0,0,0,3
CAM??,2018-03-31T02:14:13.5443126Z,96,211,72,70,1,UNDETERMINED,0,0, 3,0,0,0,0,3
CAM02,2018-03-31T02:14:16.4169202Z,11,183,99,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:14:16.4169202Z,10,182,100,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:13:53.7272988Z,115,253,66,36,7,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:13.5106661Z,145,261,59,41,18,UNDETERMINED,0,0, 1,0,0,0,0,1
CAM02,2018-03-31T02:14:16.3856708Z,7,172,100,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:14:13.5106661Z,12,190,99,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:13.5106661Z,115,238,66,61,6,UNDETERMINED,0,0, 2,0,0,0,0,2
CAM02,2018-03-31T02:14:13.5443126Z,13,178,100,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:13:53.6803987Z,65,171,81,87,0,UNDETERMINED,0,0, 1,0,0,0,0,1
CAM??,2018-03-31T02:14:13.5443126Z,114,235,69,68,2,UNDETERMINED,0,0, 2,0,0,0,0,2
CAM02,2018-03-31T02:14:16.4169202Z,14,177,100,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:14:16.4169202Z,11,187,100,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:13:53.7272988Z,155,257,61,58,5,UNDETERMINED,0,0, 2,0,0,0,0,2
CAM??,2018-03-31T02:14:13.5106661Z,157,278,58,19,14,heading: v,0,0, 2,0,0,0,1,1
CAM02,2018-03-31T02:14:16.3856708Z,13,180,99,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:14:13.5106661Z,13,202,98,0,1,UNDETERMINED,0,0, 1,0,0,0,0,1
CAM??,2018-03-31T02:14:13.5106661Z,103,232,67,95,3,heading: v,0,0, 3,0,0,0,1,2
CAM02,2018-03-31T02:13:53.6803987Z,7,177,100,0,1,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:13.5443126Z,65,174,76,72,1,heading: v,0,0, 4,0,0,0,1,3
CAM??,2018-03-31T02:14:13.5106661Z,136,252,57,8,20,UNDETERMINED,0,0, 1,0,0,0,0,1
